"","Negative","No Change","Positive","Node","Region","Model","Experiment","Climate scenario","Net Prediction"
"618",45.4,0,54.6,"DMS","Low-lat shelf","+ Hypothesised","Future climate","B",9.2
"619",0,0,100,"Glacial melt","Low-lat shelf","+ Hypothesised","Future climate","B",100
"620",23.38,0,76.62,"Ice terraces","Low-lat shelf","+ Hypothesised","Future climate","B",53.24
"621",50.3,0,49.7,"Large pelagic algae","Low-lat shelf","+ Hypothesised","Future climate","B",-0.599999999999994
"622",49.12,0,50.88,"Light","Low-lat shelf","+ Hypothesised","Future climate","B",1.76
"623",61.1,0,38.9,"Marine snow","Low-lat shelf","+ Hypothesised","Future climate","B",-22.2
"624",47.6,0,52.4,"MLD","Low-lat shelf","+ Hypothesised","Future climate","B",4.80000000000001
"625",28.08,0,71.92,"Nutrients","Low-lat shelf","+ Hypothesised","Future climate","B",43.84
"626",36.9,0,63.1,"Other grazers (competition)","Low-lat shelf","+ Hypothesised","Future climate","B",26.2
"627",37.64,0,62.36,"POM","Low-lat shelf","+ Hypothesised","Future climate","B",24.72
"628",71.88,0,28.12,"Predation risk","Low-lat shelf","+ Hypothesised","Future climate","B",-43.76
"629",46.7,0,53.3,"Sea-ice algae","Low-lat shelf","+ Hypothesised","Future climate","B",6.6
"630",50.56,0,49.44,"Sea-ice concentration","Low-lat shelf","+ Hypothesised","Future climate","B",-1.12
"631",23.38,0,76.62,"Sea-ice convergence","Low-lat shelf","+ Hypothesised","Future climate","B",53.24
"632",45.24,0,54.76,"Sea-ice thickness","Low-lat shelf","+ Hypothesised","Future climate","B",9.52
"633",50.14,0,49.86,"Small copepods","Low-lat shelf","+ Hypothesised","Future climate","B",-0.279999999999994
"634",47.3,0,52.7,"Small pelagic algae","Low-lat shelf","+ Hypothesised","Future climate","B",5.40000000000001
"635",0,100,0,"Snow","Low-lat shelf","+ Hypothesised","Future climate","B",0
"636",100,0,0,"Depth","Low-lat shelf","+ Hypothesised","Future climate","B",-100
"637",100,0,0,"Latitude","Low-lat shelf","+ Hypothesised","Future climate","B",-100
"638",100,0,0,"Autumn primary production","Low-lat shelf","+ Hypothesised","Future climate","B",-100
"639",0,0,100,"Temperature","Low-lat shelf","+ Hypothesised","Future climate","B",100
"640",0,0,100,"Wind stress","Low-lat shelf","+ Hypothesised","Future climate","B",100
"641",76.24,0,23.76,"Growth","Low-lat shelf","+ Hypothesised","Future climate","B.2",-52.48
"642",89.88,0,10.12,"Survival","Low-lat shelf","+ Hypothesised","Future climate","B.2",-79.76
"643",45.34,0,54.66,"DMS","Low-lat shelf","+ Hypothesised","Future climate","B.2",9.31999999999999
"644",0,0,100,"Glacial melt","Low-lat shelf","+ Hypothesised","Future climate","B.2",100
"645",52.3,0,47.7,"Large pelagic algae","Low-lat shelf","+ Hypothesised","Future climate","B.2",-4.60000000000001
"646",37.78,0,62.22,"Light","Low-lat shelf","+ Hypothesised","Future climate","B.2",24.44
"647",52.28,0,47.72,"Marine snow","Low-lat shelf","+ Hypothesised","Future climate","B.2",-4.56
"648",49.44,0,50.56,"MLD","Low-lat shelf","+ Hypothesised","Future climate","B.2",1.12
"649",15.18,0,84.82,"Nutrients","Low-lat shelf","+ Hypothesised","Future climate","B.2",69.64
"650",29.26,0,70.74,"Other grazers (competition)","Low-lat shelf","+ Hypothesised","Future climate","B.2",41.48
"651",10,0,90,"POM","Low-lat shelf","+ Hypothesised","Future climate","B.2",80
"652",89.88,0,10.12,"Predation risk","Low-lat shelf","+ Hypothesised","Future climate","B.2",-79.76
"653",70.46,0,29.54,"Small copepods","Low-lat shelf","+ Hypothesised","Future climate","B.2",-40.92
"654",44.96,0,55.04,"Small pelagic algae","Low-lat shelf","+ Hypothesised","Future climate","B.2",10.08
"655",0,100,0,"Snow","Low-lat shelf","+ Hypothesised","Future climate","B.2",0
"656",100,0,0,"Depth","Low-lat shelf","+ Hypothesised","Future climate","B.2",-100
"657",100,0,0,"Latitude","Low-lat shelf","+ Hypothesised","Future climate","B.2",-100
"658",100,0,0,"Autumn primary production","Low-lat shelf","+ Hypothesised","Future climate","B.2",-100
"659",0,0,100,"Temperature","Low-lat shelf","+ Hypothesised","Future climate","B.2",100
"660",0,0,100,"Wind stress","Low-lat shelf","+ Hypothesised","Future climate","B.2",100
"661",42.8,0,57.2,"Growth","Low-lat shelf","+ Hypothesised","Future climate","C",14.4
"662",26.26,0,73.74,"Survival","Low-lat shelf","+ Hypothesised","Future climate","C",47.48
"663",40.56,0,59.44,"DMS","Low-lat shelf","+ Hypothesised","Future climate","C",18.88
"664",100,0,0,"Glacial melt","Low-lat shelf","+ Hypothesised","Future climate","C",-100
"665",27.78,0,72.22,"Ice terraces","Low-lat shelf","+ Hypothesised","Future climate","C",44.44
"666",37.4,0,62.6,"Large pelagic algae","Low-lat shelf","+ Hypothesised","Future climate","C",25.2
"667",75.42,0,24.58,"Light","Low-lat shelf","+ Hypothesised","Future climate","C",-50.84
"668",58.38,0,41.62,"Marine snow","Low-lat shelf","+ Hypothesised","Future climate","C",-16.76
"669",15.88,0,84.12,"MLD","Low-lat shelf","+ Hypothesised","Future climate","C",68.24
"670",16.1,0,83.9,"Nutrients","Low-lat shelf","+ Hypothesised","Future climate","C",67.8
"671",47.84,0,52.16,"Other grazers (competition)","Low-lat shelf","+ Hypothesised","Future climate","C",4.32
"672",65,0,35,"POM","Low-lat shelf","+ Hypothesised","Future climate","C",-30
"673",34.2,0,65.8,"Predation risk","Low-lat shelf","+ Hypothesised","Future climate","C",31.6
"674",57.26,0,42.74,"Sea-ice algae","Low-lat shelf","+ Hypothesised","Future climate","C",-14.52
"675",49.44,0,50.56,"Sea-ice concentration","Low-lat shelf","+ Hypothesised","Future climate","C",1.12
"676",27.78,0,72.22,"Sea-ice convergence","Low-lat shelf","+ Hypothesised","Future climate","C",44.44
"677",27.92,0,72.08,"Sea-ice thickness","Low-lat shelf","+ Hypothesised","Future climate","C",44.16
"678",57.96,0,42.04,"Small copepods","Low-lat shelf","+ Hypothesised","Future climate","C",-15.92
"679",53.76,0,46.24,"Small pelagic algae","Low-lat shelf","+ Hypothesised","Future climate","C",-7.52
"680",0,100,0,"Snow","Low-lat shelf","+ Hypothesised","Future climate","C",0
"681",100,0,0,"Depth","Low-lat shelf","+ Hypothesised","Future climate","C",-100
"682",100,0,0,"Latitude","Low-lat shelf","+ Hypothesised","Future climate","C",-100
"683",0,0,100,"Autumn primary production","Low-lat shelf","+ Hypothesised","Future climate","C",100
"684",100,0,0,"Temperature","Low-lat shelf","+ Hypothesised","Future climate","C",-100
"685",0,0,100,"Wind stress","Low-lat shelf","+ Hypothesised","Future climate","C",100
"686",42.98,0,57.02,"Growth","Low-lat shelf","+ Hypothesised","Future climate","D",14.04
"687",42.3,0,57.7,"Survival","Low-lat shelf","+ Hypothesised","Future climate","D",15.4
"688",45.52,0,54.48,"DMS","Low-lat shelf","+ Hypothesised","Future climate","D",8.96
"689",100,0,0,"Glacial melt","Low-lat shelf","+ Hypothesised","Future climate","D",-100
"690",27.78,0,72.22,"Ice terraces","Low-lat shelf","+ Hypothesised","Future climate","D",44.44
"691",39.16,0,60.84,"Large pelagic algae","Low-lat shelf","+ Hypothesised","Future climate","D",21.68
"692",72.4,0,27.6,"Light","Low-lat shelf","+ Hypothesised","Future climate","D",-44.8
"693",67.38,0,32.62,"Marine snow","Low-lat shelf","+ Hypothesised","Future climate","D",-34.76
"694",15.88,0,84.12,"MLD","Low-lat shelf","+ Hypothesised","Future climate","D",68.24
"695",16.1,0,83.9,"Nutrients","Low-lat shelf","+ Hypothesised","Future climate","D",67.8
"696",53.28,0,46.72,"Other grazers (competition)","Low-lat shelf","+ Hypothesised","Future climate","D",-6.56000000000001
"697",51.66,0,48.34,"POM","Low-lat shelf","+ Hypothesised","Future climate","D",-3.32
"698",50.42,0,49.58,"Predation risk","Low-lat shelf","+ Hypothesised","Future climate","D",-0.840000000000003
"699",56.32,0,43.68,"Sea-ice algae","Low-lat shelf","+ Hypothesised","Future climate","D",-12.64
"700",49.44,0,50.56,"Sea-ice concentration","Low-lat shelf","+ Hypothesised","Future climate","D",1.12
"701",27.78,0,72.22,"Sea-ice convergence","Low-lat shelf","+ Hypothesised","Future climate","D",44.44
"702",27.92,0,72.08,"Sea-ice thickness","Low-lat shelf","+ Hypothesised","Future climate","D",44.16
"703",64.34,0,35.66,"Small copepods","Low-lat shelf","+ Hypothesised","Future climate","D",-28.68
"704",56.78,0,43.22,"Small pelagic algae","Low-lat shelf","+ Hypothesised","Future climate","D",-13.56
"705",0,100,0,"Snow","Low-lat shelf","+ Hypothesised","Future climate","D",0
"706",100,0,0,"Depth","Low-lat shelf","+ Hypothesised","Future climate","D",-100
"707",100,0,0,"Latitude","Low-lat shelf","+ Hypothesised","Future climate","D",-100
"708",100,0,0,"Autumn primary production","Low-lat shelf","+ Hypothesised","Future climate","D",-100
"709",100,0,0,"Temperature","Low-lat shelf","+ Hypothesised","Future climate","D",-100
"710",0,0,100,"Wind stress","Low-lat shelf","+ Hypothesised","Future climate","D",100
